,CUI1,CUI2,label
0,Links List,Heavy Chain Deposition Disease,0
1,Term (temporal),Childhood Fibrillary Astrocytoma,0
2,Different,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
3,Human papilloma virus infection,BRCA2 Syndrome,0
4,Common (qualifier value),Childhood Central Nervous System Ganglioneuroblastoma,0
5,Determined by,Microcystic meningioma,0
6,Chemical Association,Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
7,Ibrutinib,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
8,Childhood Lymphoma,Unresectable Rhabdomyosarcoma,0
9,Definitely Related to Intervention,Diffuse malignant mesothelioma,0
10,Poverty,Uterine Cancer,0
11,How Much Distress Itching,Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
12,13q12,Acute lymphadenitis,0
13,Head - Component of Device,Undifferentiated Endocervical Sarcoma,0
14,suggestion,Kaposi's sarcoma of extrahepatic bile duct,0
15,Ulceration,Leptomeningeal sarcoma,0
16,Etiology aspects,Human Papillomavirus-Related Carcinoma,0
17,biopsy characteristics,Tonsillar Carcinoma,0
18,Onset of (contextual qualifier),Platinum-Resistant Lung Small Cell Carcinoma,0
19,research subject screening,Splenic Manifestation of B-Cell Prolymphocytic Leukemia,0
20,Malignant Meningioma,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
21,Therapeutic procedure,Blepharal carcinoma,0
22,Common (qualifier value),Precursor T-lymphoblastic lymphoma/leukemia stage III,0
23,Have Shortness of Breath question,Adenocarcinoma of the prostate metastatic,0
24,Adrenocortical carcinoma,Intestinal Metaplasia of Bladder Urothelium,0
25,Adult Non-Hodgkin Lymphoma,Multiple Skull Base Meningiomas,0
26,In Cerebrospinal Fluid,Stage II Carcinoma of Penis,0
27,Subependymal Giant Cell Astrocytoma,Cherubism,0
28,Obesity,Intraocular Malignant Peripheral Nerve Sheath Tumor,0
29,Multifocal,FIGO Stage IVA Ovarian Cancer,0
30,Affecting,Intermediate Soft Tissue Tumor of Uncertain Differentiation,0
31,Back,Stage IIIB Ovarian Cancer AJCC v6 and v7,0
32,Personal appearance,Cartilaginous exostosis,0
33,Lifetime,Colorectal Mucosa-Associated Lymphoid Tissue Lymphoma,0
34,Gingiva,Benign tumor of eyelid,0
35,30%,Lymphomatous Adult T-Cell Leukemia/Lymphoma,0
36,Primary malignant neoplasm,Human Papillomavirus-Related Carcinoma,0
37,Malignant Neoplasms,Trabecular adenocarcinoma,0
38,Study of epidemiology,Mixed astrocytoma-ependymoma,0
39,Remaining,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
40,Low Grade,Stage IIIB Ovarian Cancer AJCC v6 and v7,0
41,Shin,Intraepithelial Melanocytic Hyperplasia,0
42,Protruding,Cerebral Primitive Neuroectodermal Tumor,0
43,20s,Nodular Lymphocyte Predominant Hodgkin Lymphoma,0
44,Cell Device,Human Papillomavirus-Related Carcinoma,0
45,Classification,Familial Adenomatous Polyposis Associated Medulloblastoma,0
46,Ability,Stage IV Childhood Non-Hodgkin Lymphoma,0
47,Unexplained weight loss,Tubal Hyperplasia,0
48,Usual,Kaposi's sarcoma of extrahepatic bile duct,0
49,Benign Neoplasm,Colorectal Neuroendocrine Tumor G2,0
50,Rare Diseases,Clinical Stage I Cutaneous Melanoma AJCC v8,0
51,combination - answer to question,Cartilaginous exostosis,0
52,Variable (uniformity),Gallbladder Adenocarcinoma,0
53,Usually,Larynx carcinoma recurrent,0
54,Back structure,Blepharal carcinoma,0
55,white blood cell type,Stage IVC Oral Cavity Adenoid Cystic Carcinoma AJCC v6 and v7,0
56,Hemangioma,Mucinous adenocarcinoma gastric,0
57,Symptoms aspect,Benign tumor of eyelid,0
58,Smear - instruction imperative,Benign Mixed Epithelial and Mesenchymal Hair Follicle Neoplasm,0
59,Portion of urine,Adult Acute Eosinophilic Leukemia,0
60,Numbers,Recurrent Testicular Lymphoma,0
61,peripheral blood,Recurrent Uveal Melanoma,0
62,School Grade,Mucinous adenocarcinoma gastric,0
63,Malignant epithelioma,Refractory Barrett Esophagus,0
64,Very,Stage 0 Penile Cancer AJCC v8,0
65,Third,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
66,Source,Pancreatic Intraepithelial Neoplasia-3,0
67,Experimental Finding,Airway Hemangioma,0
68,Geographic Locations,Thyroid Hurthle Cell Carcinoma,0
69,Infection,ROSE Cluster 3,0
70,Entity Determiner - specific,Rhabdomyosarcoma with ganglionic differentiation,0
71,Removed,Ampulla of Vater Tubular Adenoma,0
72,Genetic,High Grade Glandular Intraepithelial Neoplasia,0
73,Specimen Source Codes - Tube,Localized Ewing Sarcoma,0
74,Latin America,Recurrent Uveal Melanoma,0
75,best (quality),Stage IB Pancreatic Cancer AJCC v8,0
76,Assortment,Mucinous adenocarcinoma gastric,0
77,Including (qualifier),Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
78,low exposure,Acantholytic squamous cell carcinoma,0
79,Measures,Localized Askin Tumor,0
80,Malignant Neoplasms,Neonatal leukemia,0
81,Deeply,Stage II Differentiated Thyroid Gland Carcinoma Under 45 Years AJCC v7,0
82,Cervix Uteri,Splenic Manifestation of Hairy Cell Leukemia,0
83,Involvement with,Posterior Pharyngeal Wall Squamous Cell Carcinoma,0
84,Case unit dose,Recurrent Rhabdomyosarcoma,0
85,Affect (mental function),Ampulla of Vater Tubular Adenoma,0
86,Form:Finding:Point in time:{Setting}:Document:{Role},Spermatocytic seminoma,0
87,>5,Mixed astrocytoma-ependymoma,0
88,Occur (action),Acantholytic squamous cell carcinoma,0
89,MOSTLY,Noninfiltrating Intraductal Carcinoma,0
90,Etiology aspects,Refractory Ependymoma,0
91,Treating,Nasal cavity carcinoma,0
92,Result,Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
93,Breast Cancer Type 1 Susceptibility Protein Measurement,Engraftment syndrome,0
94,Condition,Vaginal Adenoma,0
95,Recombinant Immune Globulin,Unresectable Rhabdomyosarcoma,0
96,Body structure,Metaplastic carcinoma of breast,0
97,Daily Living,Grade 3a Malignant Neoplasm,0
98,Device Cord,Anaplastic large cell lymphoma,0
99,Covers (device),Papillary cystic tumor,0
100,High,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
101,Undescended testis (body structure),Liver Lymphangioma,0
102,Personal appearance,Colorectal Mucosa-Associated Lymphoid Tissue Lymphoma,0
103,Representation (action),Peripheral primitive neuroectodermal tumor of soft tissue,0
104,Family illness,Vaginal Adenoma,0
105,Zone,Undifferentiated Endocervical Sarcoma,0
106,Present,Congenital hamartoma,0
107,Persons,Splenic Manifestation of B-Cell Prolymphocytic Leukemia,0
108,Definition,Lipoma of small intestine,0
109,Death NOS,Vaginal Adenoma,0
110,Nasal sinus,embryonal rhabdomyosarcoma of prostate,0
111,Malignant - descriptor,Choroid Epithelioid Cell Melanoma,0
112,Muscle Contraction,embryonal rhabdomyosarcoma of prostate,0
113,1000000,Engraftment syndrome,0
114,Include (action),Blood Vessel Tumors,0
115,Worker,Stage IVA Lip and Oral Cavity Cancer AJCC v8,0
116,Occur (action),Squamous cell carcinoma of lip,0
117,Colon <insect>,Pleomorphic adenoma of parotid gland,0
118,Malignant neoplasm of skin,Testicular cancer metastatic,0
119,Microvolt,Vaginal Adenoma,0
120,Meaning,Mucinous adenocarcinoma gastric,0
121,Membrane Device,Benign Mixed Epithelial and Mesenchymal Hair Follicle Neoplasm,0
122,foreign,Malignant neoplasm of choroid,0
123,Biomaterial Treatment,Congenital hamartoma,0
124,described,ROSE Cluster 3,0
125,Smear - instruction imperative,Benign Mixed Epithelial and Mesenchymal Hair Follicle Neoplasm,0
126,Lead,Papillary squamous cell carcinoma,0
127,Unknown GENC,Thymic Atypical Carcinoid Tumor,0
128,Penetration,FIGO Stage II Ovarian Cancer,0
129,leukemia,Locally Advanced Squamous Cell Carcinoma,0
130,Vaginal wall,Peripheral primitive neuroectodermal tumor of soft tissue,0
131,Responsible to,Bladder adenocarcinoma stage IV,0
132,Disease,Leptomeningeal sarcoma,0
133,Yolk Sac Tumor,Benign Apocrine Neoplasm,0
134,Weight Loss,Liver Cavernous Hemangioma,0
135,Bone marrow aspiration procedure,Type II Endometrial Adenocarcinoma,0
136,Occurrence,Noninfiltrating Intraductal Carcinoma,0
137,risk factors - observation list,Pancreatic carcinoma,0
138,Obesity,Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8,0
139,Microplate Well,Angiosarcoma of liver,0
140,regional,Type II Endometrial Adenocarcinoma,0
141,Malignant Bone Neoplasm,Secondary malignant neoplasm of lymph node,0
142,Gestational trophoblastic disease,Mixed astrocytoma-ependymoma,0
143,True primary (qualifier value),Refractory Ependymoma,0
144,Frequently,Secondary malignant neoplasm of lymph node,0
145,Linear,Uterine Cancer,0
146,Liver Flavor,Acute myeloid leukemia with t(9:11)(p22;q23); MLLT3-MLL,0
147,Antimicrobial Intermediate Susceptibility Result,Stage IIIB Ovarian Cancer AJCC v6 and v7,0
148,Initially,Pilocytic astrocytoma of cerebellum,0
149,Time,sarcoma of spinal cord,0
150,Line Unit of Length,Pathologic Stage III Cutaneous Melanoma AJCC v8,0
151,depend,Stage I Adult Non-Hodgkin Lymphoma,0
152,Type - attribute,mucinous adenocarcinoma of gallbladder,0
153,Condition:Find:Pt:^Patient:Nom,Stage IV Penile Cancer AJCC v7,0
154,Hardness,Refractory Barrett Esophagus,0
155,Pediculus humanus capitis (eukaryote),Acute myeloid leukemia with t(9:11)(p22;q23); MLLT3-MLL,0
156,Cancer Genus,Adult Lymphocyte-Depleted Classical Hodgkin Lymphoma,0
157,Ductal Breast Carcinoma,Recurrent Primary Lymphoma of Bone,0
158,Communicable Diseases,Unresectable Rhabdomyosarcoma,0
159,Including (qualifier),Childhood Lymphoma,0
160,Arising,Thyroid Hurthle Cell Carcinoma,0
161,Resolution,Posterior Pharyngeal Wall Squamous Cell Carcinoma,0
162,radiotherapeutic,Childhood Central Nervous System Ganglioneuroblastoma,0
163,How Often Nausea,Small Intestinal Villous Adenoma,0
164,Preventive intent,Female Breast Carcinoma,0
165,Special,Noninfiltrating Intraductal Carcinoma,0
166,Grains,Mixed astrocytoma-ependymoma,0
167,Elderly (population group),Deep Leiomyoma,0
168,Small,Trichilemmocarcinoma,0
169,Phonation,Endometrial Small Cell Carcinoma,0
170,With intensity,Recurrent Nasal Cavity and Paranasal Sinus Carcinoma,0
171,Collagen,Intermediate Soft Tissue Tumor of Uncertain Differentiation,0
172,Specimen Source Codes - tumor,Stage II Gastric and Omental Gastrointestinal Stromal Tumor AJCC v8,0
173,Inspiration function,Clinical Stage I Cutaneous Melanoma AJCC v8,0
174,risk factors,Acantholytic squamous cell carcinoma,0
175,Occur (action),Intraocular Malignant Peripheral Nerve Sheath Tumor,0
176,Sweating,Acantholytic squamous cell carcinoma,0
177,Make - Instruction Imperative,Metastatic Lung Small Cell Carcinoma,0
178,Sufficient,Congenital hamartoma,0
179,Biomaterial Treatment,Liver Lymphangioma,0
180,Duct (organ) structure,Melanomatosis,0
181,Smear - instruction imperative,Stage II Differentiated Thyroid Gland Carcinoma Under 45 Years AJCC v7,0
182,Classification,Locally Advanced Epithelioid Hemangioendothelioma,0
183,Tumor Antigens,Stage IVA Lip and Oral Cavity Cancer AJCC v8,0
184,Free of (attribute),Thymic Clear Cell Carcinoma,0
185,Phase,Anaplastic large cell lymphoma,0
186,New Zealand Rabbits,Precursor B-lymphoblastic lymphoma stage II,0
187,shared attribute,Stage IVA Lip and Oral Cavity Cancer AJCC v8,0
188,Following,Childhood Central Nervous System Immature Teratoma,0
189,Retinoic Acid Response Element,FIGO Stage IVA Ovarian Cancer,0
190,Anterior thoracic region,Neonatal leukemia,0
191,Physical findings,Clinical Stage I Cutaneous Melanoma AJCC v8,0
192,Often - answer to question,Non-Metastatic Gestational Trophoblastic Tumor,0
193,Presentation,Refractory Bladder Carcinoma,0
194,Painful intercourse female,Cervical Squamous Intraepithelial Neoplasia,0
195,Arising,Clinical Stage I Cutaneous Melanoma AJCC v8,0
196,Square Mile,Lipoma of small intestine,0
197,Bayer Visual Acuity Changes Grade 3,Acantholytic squamous cell carcinoma,0
198,Aspects of disease screening,Ectomesenchymal Chondromyxoid Tumor,0
199,Indication of (contextual qualifier),Clinical Stage II HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8,0
200,Muscle Tissue,Childhood Extragonadal Malignant Germ Cell Tumor,0
201,Liver,Brain Tumor,0
202,Adult Non-Hodgkin Lymphoma,Unicystic ameloblastoma,0
203,Cell Count,Benign Carotid Body Paraganglioma,0
204,Site,Malignant Testicular Sertoli Cell Tumor,0
205,Group A (qualifier value),Tumorlet,0
206,Blood Circulation,Anterior Urethral Malignant Neoplasm,0
207,Females,Liver Lymphangioma,0
208,Diagnosis,Papillary squamous cell carcinoma,0
209,Unit device,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
210,Pilocytic Astrocytoma,Pathologic Stage III Cutaneous Melanoma AJCC v8,0
211,Associated topography,Malignant Testicular Non-Seminomatous Germ Cell Tumor,0
212,high - ActExposureLevelCode,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
213,Third revision,Blepharal carcinoma,0
214,shared attribute,Dermatofibrosarcoma Protuberans with Giant Cell Fibroblastoma-Like Differentiation,0
215,Benign,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
216,Organ,Microcystic meningioma,0
217,<90,Unicystic ameloblastoma,0
218,Childhood Rhabdomyosarcoma,Stage IIIB Ovarian Cancer AJCC v6 and v7,0
219,Therapeutic radiology procedure,Plexosarcoma,0
220,Pineal germinoma,Diffuse malignant mesothelioma,0
221,Academic degree,Adenocarcinoma,0
222,Red Blood Cell Count measurement,Anterior Urethral Malignant Neoplasm,0
223,Supportive assistance,Tonsillar Carcinoma,0
224,Skin,Recurrent Acute Myeloid Leukemia with t (9;11) (p21.3; q23.3); MLLT3-KMT2A,0
225,Then,Granular Cell Leiomyosarcoma,0
226,Positive Selection,Adult Anaplastic Oligodendroglioma,0
227,Malignant Vaginal Neoplasm,Urethral Carcinoma,0
228,Diffuse,Clinical Stage I Cutaneous Melanoma AJCC v8,0
229,Peritoneum,Female Breast Carcinoma,0
230,Cumulative,Acinar cell carcinoma of pancreas,0
231,month,Clonal Hematopoiesis of Indeterminate Potential,0
232,Painless,Undifferentiated Endocervical Sarcoma,0
